gene,cases_synonymous,cases_missense,cases_PTVs,control_synonymous,control_missense,control_PTVs,sample_synonymous,sample_missense,sample_PTVs,pval_synonymous,OR_synonymous,lowci_synonymous,highci_synonymous,pval_missense,OR_missense,lowci_missense,highci_missense,pval_PTVs,OR_PTVs,lowci_PTVs,highci_PTVs,cases_missense_MPC>=2,control_missense_MPC>=2,sample_missense_MPC>=2,pval_missense_MPC>=2,OR_missense_MPC>=2,lowci_missense_MPC>=2,highci_missense_MPC>=2
TRMT2A,3,3,1,0,2,0,3,5,1,0.03597442136310939,inf,0.8385372201147251,inf,0.3399551869003277,3.0443613995111147,0.3485850272371702,36.48612398803831,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,
TRMT2B,0,2,0,0,0,0,0,2,0,,,,,0.108994485854413,inf,0.3810289196999768,inf,,,,,,,,,,,
TRMT44,2,0,0,0,0,0,2,0,0,0.108994485854413,inf,0.3810289196999768,inf,,,,,,,,,,,,,,,
TRMT5,2,3,0,0,0,0,2,3,0,0.108994485854413,inf,0.3810289196999768,inf,0.03597442136310939,inf,0.8385372201147251,inf,,,,,,,,,,,
TRMT6,1,4,0,0,0,0,1,4,0,0.3301717508331197,inf,0.052018464830419324,inf,0.011871559049826107,inf,1.3398046898434977,inf,,,,,,,,,,,
TRMT61A,2,5,0,0,1,0,2,6,0,0.108994485854413,inf,0.3810289196999768,inf,0.01704090894186609,10.156561252304645,1.1356262876055834,479.2051644135051,,,,,,,,,,,
TRMT61B,0,5,1,0,1,0,0,6,1,,,,,0.01704090894186609,10.156561252304645,1.1356262876055834,479.2051644135051,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,
TRMU,4,2,0,0,1,0,4,3,0,0.011871559049826107,inf,1.3398046898434977,inf,0.2550346148370204,4.058485292018265,0.21121917126250336,239.14629870833855,,,,,,,,,,,
TRNAU1AP,1,2,0,0,0,0,1,2,0,0.3301717508331197,inf,0.052018464830419324,inf,0.108994485854413,inf,0.3810289196999768,inf,,,,,,,,,,,
TRNT1,0,11,0,0,1,0,0,12,0,,,,,4.2167745382106973e-05,22.37205594626647,3.2494400062971627,958.8056320839536,,,,,,,,,,,
TRO,3,5,1,0,0,0,3,5,1,0.03597442136310939,inf,0.8385372201147251,inf,0.003916934604011342,inf,1.860234948898496,inf,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,
TROAP,1,6,0,0,1,1,1,7,1,0.3301717508331197,inf,0.052018464830419324,inf,0.006487873716412851,12.189116391382642,1.4778146974844977,559.189159820999,1.0,0.0,0.0,79.02388266631878,,,,,,,
TROVE2,4,3,0,2,1,0,6,4,0,0.0969883526155232,4.0600698064776335,0.5816004925303284,44.901130198904895,0.1082830083029593,6.089065976923362,0.4887365991452925,319.18343169401834,,,,,,,,,,,
TRPA1,2,7,0,1,0,0,3,7,0,0.2550346148370204,4.058485292018265,0.21121917126250336,239.14629870833855,0.00042618407311165803,inf,2.9271852990982574,inf,,,,,,,,,,,
TRPC1,1,4,0,0,1,0,1,5,0,0.3301717508331197,inf,0.052018464830419324,inf,0.04369005683308515,8.1207798198385,0.8032690926837996,399.203114621839,,,,,,,,,,,
TRPC3,4,7,0,0,0,0,4,7,0,0.011871559049826107,inf,1.3398046898434977,inf,0.00042618407311165803,inf,2.9271852990982574,inf,,,,,,,,,,,
TRPC4,4,12,1,0,1,0,4,13,1,0.011871559049826107,inf,1.3398046898434977,inf,1.5009603679517426e-05,24.412053970862967,3.609410981452266,1038.6601855195129,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,
TRPC4AP,0,9,0,0,1,0,0,10,0,,,,,0.00032590626526179137,18.295350140943587,2.533494880794694,799.0242016913644,,,,,,,,,,,
TRPC5,4,6,0,0,0,0,4,6,0,0.011871559049826107,inf,1.3398046898434977,inf,0.0012921397364403988,inf,2.390602521021566,inf,,,,,4.0,0.0,4.0,0.011871559049826107,inf,1.3398046898434977,inf
TRPC6,2,2,1,1,0,1,3,2,2,0.2550346148370204,4.058485292018265,0.21121917126250336,239.14629870833855,0.108994485854413,inf,0.3810289196999768,inf,0.5513490158118259,2.0289181396024274,0.025841350361913974,159.09232933227528,,,,,,,
TRPC7,4,10,0,0,1,0,4,11,0,0.011871559049826107,inf,1.3398046898434977,inf,0.00011768591224542417,20.33314848260924,2.890694879450099,878.9265687414273,,,,,,,,,,,
TRPM1,1,7,2,0,1,0,1,8,2,0.3301717508331197,inf,0.052018464830419324,inf,0.002425670961266237,14.223242774062946,1.8260873738401735,639.1543464747642,0.108994485854413,inf,0.3810289196999768,inf,,,,,,,
TRPM2,2,4,0,2,1,0,4,5,0,0.6030400067624689,2.029184483668168,0.14702005829452644,28.004710506925612,0.04369005683308515,8.1207798198385,0.8032690926837996,399.203114621839,,,,,,,,,,,
TRPM3,3,0,0,1,0,0,4,0,0,0.1082830083029593,6.089065976923362,0.4887365991452925,319.18343169401834,,,,,,,,,,,,,,,
TRPM4,3,7,0,0,1,0,3,8,0,0.03597442136310939,inf,0.8385372201147251,inf,0.002425670961266237,14.223242774062946,1.8260873738401735,639.1543464747642,,,,,,,,,,,
TRPM5,0,1,0,0,0,0,0,1,0,,,,,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,,,,,
TRPM6,2,2,0,1,1,0,3,3,0,0.2550346148370204,4.058485292018265,0.21121917126250336,239.14629870833855,0.2550346148370204,4.058485292018265,0.21121917126250336,239.14629870833855,,,,,,,,,,,
TRPM7,2,2,1,0,1,0,2,3,1,0.108994485854413,inf,0.3810289196999768,inf,0.2550346148370204,4.058485292018265,0.21121917126250336,239.14629870833855,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,
TRPM8,4,0,0,0,1,0,4,1,0,0.011871559049826107,inf,1.3398046898434977,inf,1.0,0.0,0.0,79.02388266631878,,,,,,,,,,,
TRPS1,3,2,0,0,0,0,3,2,0,0.03597442136310939,inf,0.8385372201147251,inf,0.108994485854413,inf,0.3810289196999768,inf,,,,,,,,,,,
TRPT1,2,2,0,0,0,0,2,2,0,0.108994485854413,inf,0.3810289196999768,inf,0.108994485854413,inf,0.3810289196999768,inf,,,,,,,,,,,
