gene,cases_synonymous,cases_missense,cases_PTVs,control_synonymous,control_missense,control_PTVs,sample_synonymous,sample_missense,sample_PTVs,pval_synonymous,OR_synonymous,lowci_synonymous,highci_synonymous,pval_missense,OR_missense,lowci_missense,highci_missense,pval_PTVs,OR_PTVs,lowci_PTVs,highci_PTVs,cases_missense_MPC>=2,control_missense_MPC>=2,sample_missense_MPC>=2,pval_missense_MPC>=2,OR_missense_MPC>=2,lowci_missense_MPC>=2,highci_missense_MPC>=2
RPL35A,1,2,0,1,4,0,2,6,0,0.5513490158118259,2.0289181396024274,0.025841350361913974,159.09232933227528,1.0000000000000002,1.0143763151399232,0.09170114745990236,7.081181774729068,,,,,,,,,,,
RPL36,1,2,0,2,4,0,3,6,0,1.0,1.0143725927892049,0.0171943168231569,19.498984920552157,1.0000000000000002,1.0143763151399232,0.09170114745990236,7.081181774729068,,,,,1.0,1.0,2.0,0.5513490158118259,2.0289181396024274,0.025841350361913974,159.09232933227528
RPL36A-HNRNPH2,47,1,0,101,1,0,148,2,0,0.7922122715629247,0.9433775131413448,0.6512479000735615,1.3494961632448144,0.5513490158118259,2.0289181396024274,0.025841350361913974,159.09232933227528,,,,,1.0,0.0,1.0,0.3301717508331197,inf,0.052018464830419324,inf
RPL36AL,3,1,4,2,2,3,5,3,7,0.3399551869003277,3.0443613995111147,0.3485850272371702,36.48612398803831,1.0,1.0143725927892049,0.0171943168231569,19.498984920552157,0.2288530936392083,2.7064900569485784,0.4576056779752292,18.48478555335084,,,,,,,
RPL37,4,3,0,5,2,0,9,5,0,0.4893629224557851,1.6235915115810744,0.32198688694002103,7.54774349569157,0.3399551869003277,3.0443613995111147,0.3485850272371702,36.48612398803831,,,,,,,,,,,
RPL37A,1,2,0,4,4,0,5,6,0,1.0,0.5070798432800369,0.010297689487110148,5.1264760228028985,1.0000000000000002,1.0143763151399232,0.09170114745990236,7.081181774729068,,,,,,,,,,,
RPL38,29,0,0,35,0,0,64,0,0,0.044787541056945566,1.6860551401363375,0.9925292479880036,2.844050351794346,,,,,,,,,,,,,,,
RPL39,40,1,0,103,0,0,143,1,0,0.2110779426088579,0.7856811737144388,0.5299967646058064,1.144877381110844,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,,,,,
RPL39L,0,1,0,0,0,0,0,1,0,,,,,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,,,,,
RPL3L,28,254,0,102,438,2,130,673,2,0.004752795343383282,0.5536961708385539,0.3501417807351071,0.849957906798567,0.037130058617680865,1.1888584520676029,1.0093220388437238,1.398146712032961,1.0,0.0,0.0,10.799903524584739,,,,,,,
RPL4,36,8,0,73,25,0,109,33,0,0.9999999999999998,1.000454627089766,0.6505539359877952,1.5141818811067018,0.35529580759190976,0.6484868704712362,0.2525783503909145,1.4848783074214789,,,,,0.0,1.0,1.0,1.0,0.0,0.0,79.02388266631878
